category_id,score,trend,key_finding_1,key_finding_2,key_finding_3,source_1,source_2,source_3,source_4,source_5,source_6,source_7,last_updated
elections,8,increasing,"At least 16 states enacted 29 restrictive voting laws in 2025, with 28 taking effect before the 2026 midterms; since 2020, at least 30 states have enacted 108 restrictive laws (Brennan Center, Oct 2025)","Seven states passed stricter voter ID laws requiring birth certificates or passports; 27 states considered proof-of-citizenship requirements (Voting Rights Lab, 2025)","DOJ requested voter registration files from most states searching for ineligible voters; SAVE Act requiring documentary proof of citizenship stalled in Senate but pursued via executive order (Brennan Center)",https://www.brennancenter.org/our-work/research-reports/state-voting-laws-roundup-october-2025,https://votingrightslab.org/report/2025-legislative-sessions-to-date-key-election-policy-trends/,https://www.aljazeera.com/news/2025/11/4/could-trump-curb-voters-rights-before-2026-us-midterms,https://www.brennancenter.org/issues/ensure-every-american-can-vote/voting-reform/state-voting-laws,https://www.idea.int/news/explainer-executive-order-preserving-and-protecting-integrity-american-elections-global,https://www.aclu.org/news/voting-rights/2025-elections-voters-came-out-in-record-numbers,https://civilrights.org/blog/project-2025-poses-a-serious-threat-to-our-democracy/,2026-01-21
rule-of-law,8,increasing,"Deputy AG Todd Blanche declared administration at 'war' with federal judiciary at Federalist Society conference (Nov 2025); NYC Bar Association condemned remarks as assault on judicial independence","More than 100 DOJ prosecutors and career lawyers resigned since Jan 2025—far exceeding normal turnover—citing political interference and pressure to drop cases involving Trump allies (Al Jazeera)","DOJ fired top career ethics official and purged officials involved in Trump-related investigations; AG Bondi ordered prosecutors to drop charges against NYC Mayor Eric Adams, prompting resignations",https://www.nycbar.org/press-releases/deputy-attorney-generals-war-on-the-judiciary-is-an-assault-on-judicial-independence/,https://www.aljazeera.com/news/longform/2025/12/30/how-has-trumps-second-term-transformed-the-us-justice-department-in-2025,https://www.ibanet.org/US-presidency-weaponised-Department-of-Justice-investigations-prompt-concerns-over-independence,https://reason.com/volokh/2025/05/15/roberts-rules-for-defending-judicial-independence-and-the-rule-of-law/,https://www.oas.org/en/IACHR/jsForm/?File=/en/iachr/media_center/PReleases/2025/225.asp,https://www.judges.org/news-and-info/judicial-independence-is-threatened-according-to-90-of-judges/,https://www.fedbar.org/government-relations/fba-statements-letters-and-testimony/statement-on-the-rule-of-law-and-an-independent-judiciary/,2026-01-21
national-security,8,increasing,"DNI Gabbard fired top two National Intelligence Council officials after they refused to revise Venezuela gang assessment to support administration deportation narrative (Just Security)","Sen. Warner warned of 'systematic undermining' of intelligence community independence through firings, revoked clearances, and retaliatory reassignments silencing decades of expertise (Sept 2025)","CIA offered buyouts to entire workforce (Feb 2025); intelligence resources diverted to support Greenland annexation proposal rather than monitoring adversaries like China, Iran, Russia (Foreign Affairs)",https://www.justsecurity.org/114297/trump-administration-politicized-intelligence/,https://www.warner.senate.gov/public/index.cfm/2025/9/on-senate-floor-warner-warns-of-intelligence-politicization,https://www.foreignaffairs.com/united-states/trump-breaking-american-intelligence,https://www.military.com/daily-news/2025/08/21/gabbard-slashing-intelligence-office-workforce-and-cutting-budget-over-700-million.html,https://www.americanprogress.org/article/project-2025-will-undermine-americas-national-security/,https://www.dni.gov/index.php/newsroom/press-releases/press-releases-2025/4063-pr-05-25,,2026-01-21
regulatory-stability,6,increasing,"President signed 229 executive orders, 57 memoranda, and 118 proclamations in first year—dramatically increasing tempo and detail of directives compared to prior administrations (Ballotpedia)","AI Executive Order (Dec 2025) established federal framework and litigation task force to challenge state AI laws; reversed Biden-era AI safeguards (Sidley Austin)","Supreme Court hearing Trump v. Slaughter on authority to fire independent agency heads—outcome affects SEC, FTC, FERC regulated businesses (Holland & Knight)",https://ballotpedia.org/Donald_Trump's_executive_orders_and_actions,_2025-2026,https://www.sidley.com/en/insights/newsupdates/2025/12/unpacking-the-december-11-2025-executive-order,https://www.globalpolicywatch.com/2026/01/the-trump-administrations-enhanced-use-of-executive-orders/,https://www.deloitte.com/us/en/services/consulting/articles/banking-regulatory-outlook.html,https://www.brookings.edu/articles/tracking-regulatory-changes-in-the-second-trump-administration/,https://kpmg.com/us/en/media/news/2025-mid-year-regulatory-report.html,https://www.wolterskluwer.com/en/expert-insights/us-financial-regulatory-enforcement-plummets-under-trump-report-finds,2026-01-21
trade-policy,7,increasing,"'Liberation Day' tariffs (April 2, 2025) imposed 10% baseline tariff on nearly all imports plus country-specific tariffs up to 49%; CSIS modeling projects 1% GDP reduction (~$300B annual loss) and 9.5% price increases (CSIS)","US-China retaliatory spiral raised US tariffs on Chinese goods to 145% and Chinese tariffs on US goods to 125%; trade deficit through May 2025 was $175B larger than prior year (CFR)","Court of International Trade ruled tariffs exceeded presidential authority (May 2025); appeals court allowed tariffs to remain pending Supreme Court review; 73% of Americans expect price surge (Reuters/Ipsos)",https://www.csis.org/analysis/liberation-day-tariffs-explained,https://www.cfr.org/articles/what-trump-trade-policy-has-achieved-liberation-day,https://www.npr.org/2025/04/02/nx-s1-5345802/trump-tariffs-liberation-day,https://taxfoundation.org/research/all/federal/trump-tariffs-trade-war/,https://www.jpmorgan.com/insights/global-research/current-events/us-tariffs,https://www.richmondfed.org/publications/research/economic_brief/2025/eb_25-12,https://www.dallasfed.org/research/economics/2025/0513,2026-01-21
government-contracts,6,increasing,"Public Citizen found 16 of 24 White House ballroom project donors have government contracts; these companies received over $279B in federal contracts over past five years (Public Citizen/Common Dreams)","Over half of ballroom donor companies face federal enforcement actions including labor rights cases, SEC enforcement, and antitrust actions; Lockheed among 14 facing NLRB unfair labor practice cases (Washington Post)","DOGE-led consolidation terminated or economized 6,000+ contracts; Executive Order mandates GSA consolidation of procurement with projected $50B annual savings claim (White House Fact Sheet)",https://www.commondreams.org/news/trump-ballroom-funding,https://newrepublic.com/post/202670/trump-ballroom-donors-government-contracts-investigations,https://www.whitehouse.gov/fact-sheets/2025/04/fact-sheet-president-donald-j-trump-enforces-requirement-of-cost-effective-commercial-solutions-in-federal-contracts/,https://home.treasury.gov/news/press-releases/sb0309,https://www.justice.gov/atr/procurement-collusion-strike-force,https://www.americanbar.org/groups/criminal_justice/resources/magazine/2025-spring/antitrust-enforcement-government-procurement/,https://www.whitehouse.gov/presidential-actions/2025/04/restoring-common-sense-to-federal-procurement/,2026-01-21
fiscal-policy,7,increasing,"Trump attempted to fire Fed Governor Lisa Cook over unproven fraud claims—unprecedented action testing presidential power over central bank; case likely heading to Supreme Court (NBC News)","DOJ probe of Federal Reserve marks escalation; Fed Chair Powell accused administration of using prosecutors to interfere with rate decisions; Powell vowed to 'stand firm in face of threats' (NPR)","Administration appointed Stephen Miran to Fed board while he retained administration position; Miran cast sole dissent on rate cut wanting deeper reduction; economists warn interference threatens market stability (Center for American Progress)",https://www.nbcnews.com/business/economy/trump-lisa-cook-federal-reserve-whats-next-what-to-know-rcna227263,https://www.npr.org/2026/01/13/nx-s1-5674777/trump-federal-reserve-jerome-powell,https://www.americanprogress.org/article/the-trump-administrations-interference-with-federal-reserve-independence-carries-significant-risks/,https://www.brookings.edu/articles/remarks-by-janet-l-yellen-on-the-future-of-the-fed-central-bank-independence-and-fiscal-dominance/,https://www.cfr.org/expert-brief/importance-fed-independence,https://www.americanactionforum.org/insight/examining-the-consequences-of-a-high-and-rising-national-debt/,https://www.deloitte.com/us/en/insights/topics/economy/spotlight/us-national-debt-fiscal-effects.html,2026-01-21
media-freedom,7,increasing,"Committee to Protect Journalists reports press freedom 'no longer a given in the United States'; FCC Chair opened investigations into ABC, NBC, CBS, and local outlets (CPJ/ACLU)","Harvard rejected administration demands on admissions/hiring; administration terminated $2.2B in grants (April 2025) and barred new grants (May 2025); Princeton president called cuts 'greatest threat since Red Scare' (CNN)","Seven universities rejected 'Compact for Academic Excellence' requiring enrollment caps and DEI elimination; Cornell faces $1B+ funding pause, Northwestern nearly $800M (Inside Higher Ed)",https://www.aclu.org/news/free-speech/trumps-attacks-on-press-freedom-escalate-npr-pbs-funding-cuts-explained,https://www.cnn.com/2025/10/16/us/trump-universities-compact-funding,https://www.insidehighered.com/news/government/politics-elections/2025/04/18/what-know-about-trumps-funding-threats-colleges,https://cpj.org/issue/press-freedom-in-the-us/,https://cpj.org/2025/12/cpj-acceleration-of-us-press-freedom-concerns-spike-demand-for-safety-training/,https://freedom.press/about/announcements/2025-by-the-numbers/,https://www.rcfp.org/2025-year-in-review/,2026-01-21
civil-discourse,7,increasing,"Threats against federal judges more than tripled over past decade; 2025 on pace to surpass previous highs according to U.S. Marshals Service data (NYC Bar Association)","Pardons issued for ~1,500 January 6 defendants including Oath Keepers/Proud Boys leaders convicted of seditious conspiracy; DOJ official called it 'green light' to political violence (NPR)","Historians warn pardons follow authoritarian playbook; pardoned defendants called for retribution against prosecutors and police who testified; counterterrorism researchers say move encourages future political violence (Stanford Law)",https://www.nycbar.org/press-releases/deputy-attorney-generals-war-on-the-judiciary-is-an-assault-on-judicial-independence/,https://www.npr.org/2025/01/22/nx-s1-5269909/trumps-jan-6-pardons-have-historians-concerned-about-tolerance-of-political-violence,https://law.stanford.edu/podcast/trumps-pardons-political-violence-hate-groups-and-the-rule-of-law/,https://carnegieendowment.org/research/2023/09/polarization-democracy-and-political-violence-in-the-united-states-what-the-research-says?lang=en,https://prri.org/research/political-violence-in-america-public-perceptions-polarization-and-accountability/,https://www.pewresearch.org/short-reads/2025/10/23/americans-say-politically-motivated-violence-is-increasing-and-they-see-many-reasons-why/,https://www.brookings.edu/articles/political-violence-in-the-us/,2026-01-21
institutional-integrity,9,increasing,"17 inspectors general fired via email on January 24, 2025 citing 'changing priorities'; federal judge ruled firings unlawful but declined reinstatement; Council of IGs stated action not 'legally sufficient' (Lawfare)","Schedule F revival will strip civil service protections from estimated 50,000 federal employees; OPM rule creates 'Schedule Policy/Career' classification enabling rapid termination of career staff (Federal News Network)","Intelligence Authorization Act for FY2026 mandates annual surveys on analytic objectivity and bias, reflecting Congressional concern over politicization of intelligence agencies (Senate Intelligence Committee)",https://www.lawfaremedia.org/article/trump-fired-17-inspectors-general-was-it-legal,https://federalnewsnetwork.com/workforce/2025/04/trump-administration-estimates-50000-federal-employees-will-lose-civil-service-protections/,https://www.intelligence.senate.gov/2025/12/18/intelligence-authorization-act-for-fiscal-year-2026-division-f-of-the-national-defense-authorization-act-for-fiscal-year-2026-public-law-119-60-dec-18-2025-119th-congress-in/,https://www.govexec.com/oversight/2025/10/trump-fires-another-inspector-general-raising-fears-about-oversight-independence/408950/,https://ourpublicservice.org/blog/president-trumps-firing-of-inspectors-general-threatens-government-accountability-and-efficiency/,https://www.cbpp.org/research/federal-budget/trump-administrations-undercutting-of-oversight-hurts-taxpayers-and,https://www.nycbar.org/press-releases/firings-of-inspectors-general-are-illegal-and-invalid/,2026-01-21
